trabdes,%desempleo,%trabaja
CPIFP LOS ENLACES,2.3256,97.6744
IES MIGUEL CATALÁN,3.5088,96.4912
CES SANTO DOMINGO SAVIO,4.3478,95.6522
CFPE ACADEMIA MARCO,4.7619,95.2381
IES VEGA DEL TURIA,5.8824,94.1176
IES RÍO GALLEGO,5.9524,94.0476
IES CINCO VILLAS,8.3333,91.6667
IES SIGLO XXI,8.6957,91.3043
CPC EL BUEN PASTOR,9.0909,90.9091
CPIFP SAN LORENZO,9.0909,90.9091
IES SANTIAGO HERNÁNDEZ,10.0000,90.0000
CPC LA SALLE SANTO ÁNGEL,10.5263,89.4737
CPIFP CORONA DE ARAGÓN,10.7143,89.2857
IES PIRINEOS,11.1111,88.8889
CEFOR IZQUIERDO,12.5000,87.5000
IES MARTÍNEZ VARGAS,13.3333,86.6667
IES LA LLITERA,14.2857,85.7143
IES EMILIO JIMENO,14.2857,85.7143
O. D. SANTO DOMINGO DE SILOS,15.2542,84.7458
CPIFP PIRÁMIDE,15.3846,84.6154
IES ANDALAN,15.7895,84.2105
IES ITACA,16.6667,83.3333
IES MARÍA MOLINER,16.6667,83.3333
CPIFP MONTEARAGÓN,16.6667,83.3333
IES BIELLO ARAGON,17.6471,82.3529
IES PABLO SERRANO,19.1489,80.8511
IES PEDRO CERRADA,21.0526,78.9474
IES AVEMPACE,21.2121,78.7879
IES LUIS BUÑUEL,21.9178,78.0822
IES TIEMPOS MODERNOS,24.0000,76.0000
CES SAN VALERO,27.7778,72.2222
IES PILAR LORENGAR,28.5714,71.4286
FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN,33.3333,66.6667
IES MONEGROS - GASPAR LAX,33.3333,66.6667
LA PURISIMA NIÑOS SORDOS,50.0000,50.0000
IES BENJAMIN JARNES,50.0000,50.0000
CPC ESC. PIAS STA. ENGRACIA,,
CPC PADRE ENRIQUE DE OSSÓ,,
CPC PLUS ULTRA,,
CES SALESIANO NTRA. SRA. DEL PILAR,,
IES MOR DE FUENTES,,
CPIFP BAJO ARAGÓN,,
IES DAMIÁN FORMENT,,
IES SANTA EMERENCIANA,,
IES SEGUNDO DE CHOMÓN,,
IES ZAURÍN,,
IES BAJO ARAGÓN,,
IES LEONARDO DE CHABACIER,,
IES REYES CATOLICOS,,
IES SIERRA SAN QUÍLEZ,,
IES CABAÑAS,,
IES BAJO CINCA,,
IES JOSÉ MANUEL BLECUA,,
IES GALLICUM,,
I.F. AGROAMBIENTAL DE JACA,,
IFPE ESCUELA DE HOSTELERIA DE TERUEL,,
