trabdes,%trabajo relacionado
IES SIERRA SAN QUÍLEZ,100.0000
IES BENJAMIN JARNES,100.0000
IES MIRALBUENO,100.0000
IES MARÍA MOLINER,100.0000
CEFOR IZQUIERDO,100.0000
IES ITACA,100.0000
IES MARTÍNEZ VARGAS,100.0000
IES BAJO CINCA,100.0000
IES PABLO SERRANO,100.0000
IES AVEMPACE,100.0000
IES HERMANOS ARGENSOLA,100.0000
IES SIERRA DE GUARA,100.0000
CPIFP PIRÁMIDE,100.0000
CPIFP SAN LORENZO,90.9091
IES SIGLO XXI,85.7143
CES SALESIANO NTRA. SRA. DEL PILAR,83.3333
IES LUIS BUÑUEL,83.3333
CPC ESC. PIAS STA. ENGRACIA,76.6667
CPIFP CORONA DE ARAGÓN,75.0000
CPIFP BAJO ARAGÓN,75.0000
IES VIRGEN DEL PILAR,75.0000
IES MIGUEL CATALÁN,68.4211
CPIFP LOS ENLACES,66.6667
IES FERNANDO LÁZARO CARRETER,66.6667
IES JOSÉ MANUEL BLECUA,66.6667
IES SANTIAGO HERNÁNDEZ,66.6667
CFPE ACADEMIA MARCO,62.5000
IES LEONARDO DE CHABACIER,60.0000
IES VEGA DEL TURIA,59.0909
O. D. SANTO DOMINGO DE SILOS,50.0000
CPC COLEGIO MONTESSORI,50.0000
CES SANTO DOMINGO SAVIO,50.0000
CPC SALES. LAVIAGA CASTILLO,50.0000
IES ANDALAN,50.0000
IES CABAÑAS,50.0000
IES RÍO GALLEGO,50.0000
IES PABLO SERRANO,44.4444
CES SAN VALERO,42.8571
IES TIEMPOS MODERNOS,42.8571
IES PILAR LORENGAR,
CPIFP MONTEARAGÓN,
IES CINCO VILLAS,
IES EMILIO JIMENO,
IES BAJO ARAGÓN,
CPC EL BUEN PASTOR,
CEFP CONDES DE ARAGÓN,
CPC ALAUN,
IES GALLICUM,
IES PIRINEOS,
IES PEDRO CERRADA,
CPA-SALDUIE,
